date,user_id,type,value
2019-02-26T13:56:20.390Z,64,sleep,1.0
2018-10-29T16:08:54.148Z,78,sleep,1.76
2019-01-06T11:36:46.540Z,52,sleep,2.0
2018-11-16T15:55:35.619Z,47,sleep,3.23845386505
2019-06-16T12:18:13.868Z,56,sleep,4.0
2018-09-19T17:10:42.194Z,26,sleep,3.6399998999999994
2019-06-05T16:51:16.722Z,46,mood,4.0
2019-06-25T12:21:56.179Z,33,mood,0.8486800193790001
2018-11-14T20:14:24.395Z,96,sleep,1.8541026115400001
2019-06-23T01:02:51.087Z,78,sleep,2.04
2019-07-24T10:51:58.584Z,64,mood,2.46790266037
2019-07-24T12:40:39.108Z,17,sleep,3.24
2019-04-03T12:15:25.496Z,71,mood,0.0
2019-01-01T20:04:53.414Z,52,sleep,1.0
2019-07-19T11:19:53.639Z,73,mood,4.0
2018-10-31T17:26:12.374Z,17,sleep,3.52
2019-06-27T12:17:19.034Z,97,mood,1.9200001
2019-01-08T21:37:56.835Z,39,sleep,2.70473241806
2019-01-24T17:13:51.698Z,88,sleep,1.0
2019-04-04T16:31:54.822Z,52,mood,2.3600001
2018-09-26T15:25:37.159Z,44,sleep,1.01172399521
2019-07-16T10:46:08.118Z,52,sleep,2.72
2018-11-05T05:21:44.254Z,87,sleep,2.0
2019-06-06T13:24:14.108Z,42,sleep,3.72
2019-05-21T15:59:28.344Z,59,sleep,3.8288846015900004
2019-03-21T12:37:51.530Z,52,mood,2.0
2018-11-09T23:46:49.976Z,11,ruminationStress,1.03507041931
2019-03-30T12:35:55.329Z,50,anticipatoryStress,3.6393272876699996
2018-11-08T01:45:30.029Z,0,mood,2.70636677742
2018-12-25T14:14:39.685Z,92,sleep,2.1250371933000003
2019-04-16T21:44:51.766Z,59,sleep,1.72
2019-04-19T13:24:28.234Z,6,sleep,2.13316392899
2018-12-17T14:21:05.794Z,33,sleep,3.0
2019-03-22T14:41:17.363Z,81,mood,1.05792355537
2018-10-11T15:29:54.151Z,20,mood,3.16
2019-01-01T14:03:33.733Z,64,sleep,2.0
2018-11-20T13:38:32.198Z,53,mood,3.2
2019-04-01T02:14:36.473Z,90,sleep,0.904872179031
2019-06-08T23:10:18.891Z,66,ruminationStress,2.22025156021
2018-12-17T19:07:43.210Z,26,sleep,1.30771970749
2018-10-31T14:58:15.613Z,17,sleep,2.48906707764
2019-04-27T09:40:51.152Z,34,mood,0.07999992
2019-02-22T09:02:01.862Z,33,mood,1.0
2019-02-02T22:47:20.629Z,22,anticipatoryStress,2.0
2019-01-21T14:41:01.980Z,57,mood,2.0
2019-01-01T16:35:54.067Z,48,mood,4.0
2018-10-03T02:31:25.712Z,84,sleep,3.84
2018-11-29T19:02:54.014Z,10,mood,1.0
2019-05-02T20:42:48.480Z,86,mood,0.72
2018-10-22T14:25:01.647Z,85,ruminationStress,4.0
2019-04-24T19:48:47.072Z,38,sleep,0.7752563953399999
2018-11-22T14:22:34.502Z,46,sleep,1.8800001
2019-07-04T13:22:03.490Z,97,mood,1.76
2018-10-25T21:44:22.369Z,39,sleep,0.6400001000000001
2018-12-22T20:57:58.839Z,52,mood,0.0
2018-10-25T12:04:08.347Z,10,mood,1.8800001
2019-03-18T12:42:15.996Z,52,mood,4.0
2019-04-24T13:34:22.130Z,39,sleep,2.96
2018-11-11T13:03:03.144Z,40,mood,4.0
2019-03-25T21:52:35.902Z,54,sleep,3.61108922958
2018-10-12T17:02:25.918Z,17,sleep,1.0
2019-04-15T12:19:08.137Z,54,anticipatoryStress,4.0
2019-06-23T03:39:34.592Z,35,mood,3.2
2019-06-10T14:53:26.789Z,80,mood,0.847713947296
2018-09-27T11:37:36.200Z,17,mood,3.65647649765
2019-06-10T11:38:31.099Z,80,mood,4.0
2019-01-19T18:02:27.282Z,64,mood,4.0
2018-10-30T13:38:10.873Z,48,ruminationStress,3.8
2018-11-20T14:15:07.444Z,59,sleep,3.0
2019-04-07T00:01:40.911Z,52,mood,3.96
2019-01-22T17:22:48.888Z,14,sleep,4.0
2019-02-14T13:22:51.365Z,69,sleep,3.6327521801
2019-07-15T15:19:35.603Z,64,sleep,2.08
2019-06-14T12:19:57.159Z,52,mood,4.0
2019-05-30T12:08:15.514Z,56,mood,3.7932279110000002
2018-11-04T23:21:58.189Z,52,sleep,2.1599998
2018-10-13T15:28:31.115Z,90,sleep,3.8
2019-04-03T13:35:14.950Z,13,mood,2.42544126511
2018-10-28T14:26:54.434Z,52,sleep,2.04
2018-10-22T13:48:21.284Z,90,mood,2.85034561157
2019-06-06T15:11:19.131Z,65,ruminationStress,3.47654175758
2018-10-14T14:58:22.815Z,68,ruminationStress,4.0
2018-10-29T12:21:22.992Z,33,mood,0.184983491898
2019-02-01T11:30:23.991Z,81,mood,3.2
2018-10-31T14:45:21.813Z,84,anticipatoryStress,3.0
2019-04-22T13:44:23.102Z,46,sleep,3.17680096626
2019-05-23T19:59:40.100Z,60,sleep,2.72
2018-09-18T17:02:10.874Z,90,sleep,1.20481348038
2019-03-18T13:09:31.941Z,58,sleep,4.0
2018-10-06T08:43:10.536Z,66,mood,2.6799998
2019-04-12T12:06:12.638Z,60,sleep,3.6
2019-04-03T12:15:50.343Z,52,sleep,2.24
2019-06-07T12:14:59.150Z,90,mood,4.0
2019-01-01T20:04:53.402Z,85,mood,1.07711100578
2019-03-21T13:16:29.393Z,86,mood,0.0
2019-02-07T04:13:19.041Z,79,mood,4.0
2018-09-28T12:05:54.278Z,21,mood,1.76
2018-10-29T13:41:03.737Z,33,mood,2.28239607811
2019-02-02T22:47:05.128Z,33,anticipatoryStress,1.8097150325799998
2018-10-13T17:00:42.291Z,66,mood,2.44
2019-02-05T22:51:38.095Z,90,sleep,2.44
2018-12-27T02:12:18.883Z,72,ruminationStress,1.72
2019-04-21T16:19:38.420Z,65,sleep,2.2588634491
2019-06-19T16:28:15.321Z,49,sleep,3.4343335628500005
2019-06-09T23:17:05.786Z,11,anticipatoryStress,4.0
2018-10-22T13:19:05.477Z,84,mood,1.72
2018-09-28T11:05:51.594Z,30,mood,2.4
2019-02-26T15:28:00.769Z,10,mood,3.0
2018-10-15T03:53:39.982Z,24,mood,3.6344676017800004
2019-01-06T22:33:00.201Z,10,mood,1.3011050224299998
2019-04-06T20:42:00.123Z,18,sleep,1.0
2018-11-24T01:35:22.360Z,17,mood,1.53546500206
2019-07-13T17:05:05.222Z,52,ruminationStress,2.04
2019-06-11T17:55:39.729Z,9,sleep,4.0
2018-11-27T13:14:41.856Z,27,mood,3.96
2018-10-28T13:58:45.840Z,17,sleep,1.19105815887
2019-06-21T00:16:59.814Z,33,sleep,2.71133375168
2018-10-24T16:40:05.211Z,23,sleep,3.92
2019-02-08T15:59:03.122Z,97,sleep,2.97383928299
2019-05-20T12:48:05.837Z,39,sleep,3.32
2019-03-28T19:22:12.323Z,37,sleep,1.3199999
2019-05-28T11:25:00.047Z,69,sleep,1.244140625
2019-06-25T13:05:15.642Z,16,mood,2.0
2018-12-08T02:44:15.967Z,98,sleep,1.0
2018-12-17T14:19:12.605Z,66,mood,1.8800001
2019-07-01T17:29:28.499Z,45,sleep,2.54913759232
2019-03-19T14:09:02.766Z,96,mood,0.910070419312
2018-12-22T15:17:33.578Z,32,mood,3.96
2018-09-10T10:42:21.206Z,79,mood,1.52
2019-03-11T21:32:22.242Z,83,mood,3.92
2018-11-06T14:47:54.156Z,46,anticipatoryStress,3.96
2018-10-30T04:22:39.993Z,46,mood,1.0
2019-07-19T16:29:22.915Z,10,sleep,2.3439054489099997
2019-05-02T20:42:48.465Z,0,sleep,3.1841814518000002
2018-12-13T13:01:13.291Z,66,mood,2.0
2019-06-14T12:09:15.612Z,60,sleep,2.08
2018-10-26T13:55:46.454Z,12,anticipatoryStress,1.8
2019-06-03T14:57:19.083Z,33,sleep,3.2
2018-09-30T15:59:01.327Z,82,sleep,2.58222913742
2018-11-19T17:20:40.146Z,32,mood,2.88
2019-06-06T15:43:54.214Z,66,mood,3.4
2019-07-21T21:54:01.100Z,17,mood,0.0
